_id,internal_id,contract_id,contract_title,contract_value,contract_date,contract_ref_num,contract_url,contract_finish_date,employer,contractor,signed_by,contract_registery_date,contract_type,contract_funding,city,locality,province
1,6115,963BD5B0071E,احداث سد تاج امیر,"538,115,195,389",1395-6-10,51954133,https://cdb.mporg.ir/ContractViewIndex?ctrId=x6FiEDewDk4=,1398-6-10,شرکت سهامی آب منطقه ای لرستان,قرارگاه خاتم الانبیا(ص) قرارگاه خاتم الانبیا(ص),محمد رشنویی,1396-07-26T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,نورآباد,دلفان,لرستان
2,4229,95CNC49D2367,نظارت عالیه و کارگاهی و تکمیل پروژه های بندر خدماتی پارس,"10,990,781,147",1395-12-23,123965,https://cdb.mporg.ir/ContractViewIndex?ctrId=WQNmaKpY8jA=,1397-6-23,سازمان منطقه ویژه اقتصادی انرژی پارس,قرارگاه خاتم الانبیاء (مشاور ساحل),احسان مهدی زاده,1396-07-26T00:00:00,مشاوره,اعتبارات تملک دارایی های سرمایه ای,عسلویه,عسلویه,بوشهر
3,10985,9671D5B00727,احداث سد مخزنی تنگ سرخ و تاسیسات وابسته,"1,211,757,426,886",1396-4-31,7744ص96/420,https://cdb.mporg.ir/ContractViewIndex?ctrId=SO+yvxN/pyg=,1399-4-31,شرکت سهامی آب منطقه ای کهگیلویه و بویراحمد,قرارگاه سازندگی خاتم الانبیا,آمنه فاتحی پور,1396-07-26T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,یاسوج,بویراحمد,کهگیلویه وبویراحمد
4,10989,9675D5B0072D,"تهیه،ساخت،اجرا،راه اندازی و بهره برداری خط انتقال آب و راه دسترسی،مخازن و ایستگاههای پمپاژ آبرسانی به شهرهای دهدشت،سوق،لنده،چرام و روستاهای مسیر خط انتقال","1,758,107,559,936",1396-2-2,1302ص96/420,https://cdb.mporg.ir/ContractViewIndex?ctrId=f40fGndyPD8=,1399-2-2,شرکت سهامی آب منطقه ای کهگیلویه و بویراحمد,قرارگاه سازندگی خاتم الانبیا,آمنه فاتحی پور,1396-07-26T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,دهدشت,کهگیلویه,کهگیلویه وبویراحمد
5,30721,975ND5B00741,عملیات اجرایی سرگابریک تاسیسات وابسته و تکمیل راه دسترسی به ساختگاه سد,"1,262,380,000,000",1396-10-13,96/190/25352,https://cdb.mporg.ir/ContractViewIndex?ctrId=XrQhimY3x2o=,1397-10-13,شرکت سهامی آب منطقه ای هرمزگان,قرارگاه سازندگی خاتم الانبیا,مهین علیپور,1397-05-24T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,بندرعباس,بندرعباس,هرمزگان
6,49382,97CCC49D1700645,احداث خط لوله انتقال گاز 56 اینچ نهم سراسری حد فاصل بیدبلند-اهواز بروش PC,"936,407,993,522",1397-7-9,97/790960,https://cdb.mporg.ir/ContractViewIndex?ctrId=SsPLFQ5wZPE=,1399-5-16,شرکت مهندسی وتوسعه گاز ایران,قرارگاه سازندگی خاتم الانبیا (ص),سعید قاسمی,1397-12-19T00:00:00,پیمانکاری طرح و ساخت صنعتی و  غیرصنعتی,اعتبارات تملک دارایی های سرمایه ای,امیدیه,امیدیه,خوزستان
7,30329,975LD5B002q6,کارهای باقیمانده احداث سد مخزنی چراغ ویس,"43,873,974,805",1397-2-1,97/400/819,https://cdb.mporg.ir/ContractViewIndex?ctrId=yj3TKM9tx3k=,1397-11-1,شرکت سهامی آب منطقه ای کردستان,قرارگاه سازندگی خاتم الانبیا موسسه امین,بشرا سروش,1397-05-22T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,سقز,سقز,کردستان
8,5147,962CD5B0024B,عملیات اجرایی تکمیلی شماره 3 سد کلقان چای و سازه های جانبی,"36,283,680,925",1394-12-25,24635/310,https://cdb.mporg.ir/ContractViewIndex?ctrId=C9qf0iugHJQ=,1395-10-25,شرکت سهامی آب منطقه ای آذربایجان شرقی,قرارگاه سازندگی خاتم الانبیاء,سجاد حسینی,1396-07-26T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,تیکمه داش,بستان آباد,آذربایجان شرقی
9,18747,96C74B1E0727,احداث شبکه های آبیاری و زهکشی اراضی پایاب,"1,498,439,106,404",1395-8-15,8882,https://cdb.mporg.ir/ContractViewIndex?ctrId=N64ivAxRvl4=,1398-8-15,حوزه ستادی جهاد کشاورزی,قرارگاه سازندگی خاتم الانبیاء,مهدی خراسانی,1396-12-07T00:00:00,پیمانکاری,اعتبارات تملک دارایی های سرمایه ای,ایلام,ایلام,ایلام
10,19362,96CF4B1E179C,احداث شبکه های آبیاری و زهکشی اراضی,"1,896,815,094,565",1395-6-14,95072,https://cdb.mporg.ir/ContractViewIndex?ctrId=iqSKV645c7w=,1398-6-14,حوزه ستادی جهاد کشاورزی,قرارگاه سازندگی خاتم الانبیاء,مهدی خراسانی,1396-12-15T00:00:00,پیمانکاری طرح و ساخت صنعتی و  غیرصنعتی,اعتبارات تملک دارایی های سرمایه ای,سرپل ذهاب,سرپل ذهاب,کرمانشاه
